Bird ID,Site,Course,Date,Encounter,# shots
211406,TTRS,Buttler,2/18/2022,Pointed & Shot,2
211409,TTRS,Buttler,2/18/2022,Pointed & Shot,2
171453,TTRS,Buttler,2/18/2022,Pointed & Shot,2
211417,TTRS,Buttler,2/18/2022,Pointed & Shot,3
212157,TTRS,Buttler,2/18/2022,Pointed & Shot,3
212007,TTRS,Buttler,2/18/2022,Pointed & Shot,3
212002,TTRS,Buttler,2/18/2022,Pointed & Shot,3
211429,TTRS,Buttler,2/18/2022,Pointed & Shot,3
212019,TTRS,Buttler,2/18/2022,Pointed & Shot,3
211407,TTRS,Buttler,2/18/2022,Pointed & Shot,3
220111,TTRS,Tripsacum,2/19/2022,Pointed & Shot,3
211127,TTRS,Tripsacum,2/19/2022,Not Pointed & Flushed Wild,0
211106,TTRS,Tripsacum,2/19/2022,Not Pointed & Flushed Wild,0
211104,TTRS,Tripsacum,2/19/2022,Not Pointed & Flushed Wild,0
211124,TTRS,Tripsacum,2/19/2022,Not Pointed & Flushed Wild,0
217211,TTRS,Tripsacum,2/19/2022,Not Pointed & Flushed Wild,0
211125,TTRS,Tripsacum,2/19/2022,Not Pointed & Flushed Wild,0
220074,TTRS,Tripsacum,2/19/2022,Pointed & Shot,4
211153,TTRS,Tripsacum,2/19/2022,Pointed & Shot,4
220071,TTRS,Tripsacum,2/19/2022,Pointed & Shot,4
211130,TTRS,Tripsacum,2/19/2022,Pointed & Shot,4
220074,TTRS,Tripsacum,2/19/2022,"Birds held, hunters passed by",0
220067,TTRS,Tripsacum,2/19/2022,"Birds held, hunters passed by",0
220064,TTRS,Tripsacum,2/19/2022,Pointed & Shot,2
220009,TTRS,Tripsacum,2/19/2022,Pointed & Shot,3
211148,TTRS,Tripsacum,2/19/2022,"Birds held, hunters passed by",0
212145,TTRS,Tripsacum,2/19/2022,Pointed & Shot,3
212145,TTRS,Tripsacum,2/19/2022,"Birds held, hunters passed by",0
212149,TTRS,Tripsacum,2/19/2022,Not Encountered,0
201108,TTRS,Tripsacum,2/19/2022,Not Encountered,0
220007,TTRS,Tripsacum,2/19/2022,Not Encountered,0
220005,TTRS,Tripsacum,2/19/2022,Pointed & Shot,3
211142,TTRS,Tripsacum,2/19/2022,Pointed & Shot,3
211143,TTRS,Tripsacum,2/19/2022,Pointed & Shot,3
220103,TTRS,Tripsacum,2/19/2022,"Birds held, hunters passed by",0
220105,TTRS,Tripsacum,2/19/2022,"Birds held, hunters passed by",0
211228,TTRS,Woodyard,2/23/2023,Dogs pointed & birds ran,0
211230,TTRS,Woodyard,2/23/2023,Dogs pointed & birds ran,0
217298,TTRS,Woodyard,2/23/2023,Dogs pointed & birds ran,0
211227,TTRS,Woodyard,2/23/2023,Dogs pointed & birds ran,0
211228,TTRS,Woodyard,2/23/2023,Pointed & Shot,1
211230,TTRS,Woodyard,2/23/2023,Pointed & Shot,1
217298,TTRS,Woodyard,2/23/2023,Pointed & Shot,1
211227,TTRS,Woodyard,2/23/2023,Pointed & Shot,1
201246,TTRS,Woodyard,2/23/2023,Not Encountered,0
220251,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220252,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220253,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220250,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220258,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220259,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220260,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
220257,TTRS,Woodyard,2/23/2023,"Birds held, hunters passed by",0
211217,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
217257,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
211221,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
211224,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
200263,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
211236,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
201308,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
211223,TTRS,Anders Flat,2/23/2022,"Birds held, hunters passed by",0
220218,TTRS,Anders Flat,2/23/2022,Not Pointed & Flushed Wild,0
220219,TTRS,Anders Flat,2/23/2022,Not Pointed & Flushed Wild,0
220220,TTRS,Anders Flat,2/23/2022,Not Pointed & Flushed Wild,0
217181,TTRS,Anders Flat,2/23/2022,Not Pointed & Flushed Wild,0
220234,TTRS,Anders Flat,2/23/2022,Not Pointed & Flushed Wild,0
211207,TTRS,Anders Flat,2/23/2022,Not Pointed & Flushed Wild,0
220222,TTRS,Anders Flat,2/23/2022,Pointed & Shot,1
217497,TTRS,Anders Flat,2/23/2022,Pointed & Shot,1
220250,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220251,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220252,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220253,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220257,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220258,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220259,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220260,TTRS,Anders Flat,2/23/2022,Pointed & Flushed Wild,0
220218,TTRS,Anders Flat,2/23/2022,Pointed & Shot,3
220219,TTRS,Anders Flat,2/23/2022,Pointed & Shot,3
220220,TTRS,Anders Flat,2/23/2022,Pointed & Shot,3
217181,TTRS,Anders Flat,2/23/2022,Pointed & Shot,3
220234,TTRS,Anders Flat,2/23/2022,Pointed & Shot,3
211207,TTRS,Anders Flat,2/23/2022,Pointed & Shot,3
211407,TTRS,Buttler,2/26/2022,"Birds held, hunters passed by",0
211429,TTRS,Buttler,2/26/2022,"Birds held, hunters passed by",0
212007,TTRS,Buttler,2/26/2022,"Birds held, hunters passed by",0
212022,TTRS,Buttler,2/26/2022,"Birds held, hunters passed by",0
220417,TTRS,Buttler,2/26/2022,Pointed & Shot,4
220508,TTRS,Buttler,2/26/2022,Pointed & Shot,4
220503,TTRS,Buttler,2/26/2022,Pointed & Shot,4
191433,TTRS,Buttler,2/26/2022,Pointed & Shot,4
220418,TTRS,Buttler,2/26/2022,Pointed & Shot,4
211413,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
211408,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
212061,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
211410,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
220412,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
201444,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
212063,TTRS,Buttler,2/26/2022,"Birds ran, hunters passed by",0
201246,TTRS,Woodyard,3/3/2022,"Birds held, hunters passed by",0
211209,TTRS,Woodyard,3/3/2022,Not Pointed & Flushed Wild,0
220202,TTRS,Woodyard,3/3/2022,Not Pointed & Flushed Wild,0
201010,TTRS,Woodyard,3/3/2022,Not Pointed & Flushed Wild,0
211207,TTRS,Anders Flat,2/25/2022,Pointed & Shot,3
217181,TTRS,Anders Flat,2/25/2022,Pointed & Shot,3
220219,TTRS,Anders Flat,2/25/2022,Pointed & Shot,3
220220,TTRS,Anders Flat,2/25/2022,Pointed & Shot,3
220234,TTRS,Anders Flat,2/25/2022,Pointed & Shot,3
222121,TTRS,Anders Flat,1/23/2023,Not Encountered,0
230261,TTRS,Anders Flat,1/23/2023,Not Encountered,0
